iter,train_loss,val_loss
1000,6.1864,6.2096
2000,5.8219,5.8925
3000,5.6067,5.7043
4000,5.4306,5.5697
5000,5.3102,5.4714
6000,5.1850,5.3885
7000,5.0912,5.3356
8000,5.0065,5.2682
9000,4.9261,5.2022
10000,4.8654,5.1796
11000,4.8117,5.1294
12000,4.7241,5.1010
13000,4.6715,5.0916
14000,4.6040,5.0454
15000,4.5515,5.0094
16000,4.5134,5.0083
17000,4.4547,4.9941
18000,4.4096,4.9666
19000,4.3501,4.9519
20000,4.3254,4.9052
21000,4.3106,4.8908
22000,4.2725,4.8807
23000,4.2410,4.9040
24000,4.2025,4.8949
25000,4.1764,4.8653
26000,4.1554,4.8826
27000,4.1238,4.8573
28000,4.0699,4.8332
29000,4.0551,4.8721
30000,4.0190,4.8432
31000,3.9911,4.8849
